Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
"ASUS Vivobook 16, IntelCore™ i3-1215U 12th Gen, Th...",32990,3.9,ASUS,8GB,INTEL,512GB
"Lenovo V14 Intel Core i5 12th Gen 14""(35.56cm) FHD...",36590,3.6,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i5 13th Gen 16"" WUX...",68100,3.2,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",74990,5.0,LENOVO,16GB,INTEL,1TB
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Pr...,28990,3.9,ACER,8GB,AMD,512GB
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 51...",46490,4.2,HP,8GB,INTEL,512GB
Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDI...,74500,4.0,DELL,16GB,INTEL,1TB
HP 15S Intel Core i3 12th Gen (8GB Ram/512 GB SSD/...,37990,4.1,HP,8GB,INTEL,512GB
Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin...,33990,3.9,ACER,8GB,INTEL,512GB
"Lenovo IdeaPad Slim 3 Intel Core i5-12450H 14"" (35...",48840,3.8,LENOVO,16GB,INTEL,512GB
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 ...",31999,4.1,HP,8GB,AMD,512GB
Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450...,61990,3.9,LENOVO,16GB,INTEL,1TB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65290,4.0,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUX...",49000,3.7,LENOVO,8GB,INTEL,512GB
